#CODE;;ENGLISH;ENGLISH;
b_dachin;;D'Achin;;Anchin
b_lecateau;;Cateau;;
b_cihmay;;Chimay;;Chimay
b_maubeuge;;Maubeuge;;Mabuse
b_beaumonte;;Beumont;;
b_hallen;;Halle;;Hal,Halle
b_soignies;;Soignies;;Zinnik,Söglingen
b_lessines;;Lessines;;Lessen
b_schlossburg;;Schlossburg;;
b_coudeberg;;Coudeberg;;Coudenberg
b_nivelles;;Nivelles;;Nijvel
b_vilvoodre;;Vilvoodre;;Vilvoorde,Vilvorde
b_overijse;;Overijse;;
b_tervuren;;Tervuren;;Tervuren,Tervueren
b_affligem;;Affligem;;Afflighem
b_chatelet;;Chatelet;;Châtelet
b_tienen;;Tienen;;
b_horstcastle;;Horst;;
b_diestcity;;Diest;;
b_bonletz;;Bonletz;;Bonlez
b_dongleberg;;Dongleberg;;
b_gembloux;;Gembloux;;Gembloers
b_beersel;;Beersel;;
b_gassbeck;;Gassbeck;;Gaasbeek
b_bouchout;;Bouchout;;Boechout
b_nedelaar;;Nedelaar;;
b_blomberg;;Blomberg;;
b_stenberg;;Stenberg;;
b_wevelsburg;;Wevelsburg;;
b_schauenburg;;Schauenburg;;
b_rinteln;;Rinteln;;
b_querheim;;Querheim;;
b_oberkirchsaxony;;Oberkirchsaxony;;
b_buckeburg;;Buckeburg;;
b_grevenmarcher;;Grevenmacher;;Ettelbrück
b_rixingen;;Rixingen;;Rixingen,Réchicourt
b_remilly;;Rémilly;;Remelach
b_ramersvillers;;Ramersvillers;;Rambersvillers
b_baccarat;;Baccarat;;Burgambach
b_hingsingen;;Hingsingen;;
b_orchimont;;Orchimont;;
b_wilzenn;;Wiltz;;
b_joinville;;Joinville;;
b_blamont;;Blámont;;Blankenberg
b_pontamousson;;Pont-á-Mousson;;Mussenbrück
b_commercy;;Commercy;;Commarchen
b_useldange;;Useldange;;Useldingen
b_septfontaines;;Septfontaines;;Simmern
b_ansembourg;;Ansembourg;;Ansemburg
b_bradenbourg;;Bradenbourg;;Bradenburg
b_bourscheid;;Bourscheid;;Burscheid
b_beauforten;;Beaufort;;Befort
b_durbuy;;Durbuy;;
########################################;;;;
#Swabia;;;;
########################################;;;;
b_solothurn;;Solothurn;;
b_burgdorf;;Burgdorf;;
b_murten;;Murten;;
b_herzogenbuchsee;;Herzogenbuchsee;;
b_altrapperswill;;Alt-Rapperswill;;
b_brugg;;Brugg;;
b_muri;;Muri;;
b_einsideln;;Einsiedeln;;
b_alttogenburg;;Alt-Toggenburg;;
b_winterthur;;Winterthur;;
b_badenschweiz;;Baden;;
b_schanis;;Schänis;;
b_eberstein;;Eberstein;;
b_gernsbach;;Gernsbach;;
b_backnang;;Backnang;;
b_besigheim;;Besigheim;;
b_hodenhagen;;Hodenhagen;;
b_wirtenberg;;Wirtenberg;;
b_hohenasperg;;Hohenasperg;;
b_herrenberg;;Herrenberg;;
b_kirchheim;;Kirchheim;;
b_nurtingen;;Nürtingen;;
b_rottenburg;;Rottenburg;;
b_goppingen;;Göppingen;;
b_hohenstauffen;;Hohenstauffen;;
b_katzenstein;;Katzenstein;;
b_schattenburg;;Schattenburg;;
b_langaren;;Langaren;;
b_helfenstein;;Helfenstein;;
b_heidenheim;;Heidenheim;;
b_blaubeuren;;Blaubeuren;;
b_sig;;Sig;;
b_weisensteig;;Weisensteig;;
b_pappenheim;;Pappenheim;;
b_oettingen;;Öettingen;;
b_wallerstein;;Wallerstein;;
b_baldern;;Baldern;;
b_spielberg;;Spielberg;;
b_weikersheim;;Weikersheim;;
b_mockmuhl;;Mockmühl;;
b_neustein;;Neustein;;
b_waldenburg;;Waldenburg;;
b_hochlach;;Hochlach;;
b_hechingen;;Hechingen;;
b_schalksburg;;Schalksburg;;
b_stetten;;Stetten;;
b_balingen;;Balingen;;
b_tettang;;Tettang;;
########################################;;;;
#Bavaira;;;;
########################################;;;;
b_plassenburg;;Plassenburg;;
b_bayreuth;;Bayreuth;;
b_wunsiedel;;Wunsiedel;;
b_guttenberg;;Guttenberg;;
b_hof;;Hof;;
b_kirchenlamitz;;Kirchenlamitz;;
b_heilingenstadt;;Heilingenstadt;;
b_baiersdorf;;Baiersdorf;;
b_pottenstein;;Pottenstein;;
b_leuchenberg;;Leuchenberg;;
b_hals;;Hals;;
b_grafenwohr;;Grafenwöhr;;
b_pleystein;;Pleystein;;
b_reichenstein;;Reichenstein;;
b_nurnbergerburg;;Nürnbergerburg;;
########################################;;;;
#Burgundy;;;;
########################################;;;;
b_montfaucon;;Montfaucon;;
b_hericourtm;;Héricourt;;
b_chatelotm;;Châtelot;;
b_sainmaurice;;Saint-maurice;;
b_montecheroux;;Montécheroux;;
b_clemontm;;Clémont;;
b_montmelian;;Montmélian;;
b_moutiers;;Moutiers;;
b_ciamberi;;Ciamberì;;
b_conflans;;Conflans;;
b_modane;;Modane;;
b_pignerol;;Pignerol;;
b_bussoleno;;Bussoleno;;
b_aixlesbains;;Aix-les-Bains;;
b_ferrero;;Ferrero;;
b_auriate;;Auriate;;
b_bellegarde;;Bellegarde;;
b_brou;;Brou;;
b_belley;;Belley;;
b_nantua;;Nantua;;
b_oyonnax;;Oyonnax;;
b_amberieu;;Ambérieu;;
b_aigle;;Aigle;;
b_thonon;;Thonon;;
b_stmaurice;;Saint Maurîce;;
b_monthey;;Monthey;;
b_martigny;;Martigny;;
b_chateaudoex;;Château d'Oëx;;
b_dole;;Dôle;;
b_gray;;Gray;;
b_auxonne;;Auxonne;;
b_lure;;Lure;;
b_luxeuil;;Luxeuil;;
b_marnay;;Marnay;;
b_besancon;;Besançon;;
b_stferjeux;;Saint Ferjeux;;
b_baume;;Baume;;
b_salins;;Salins;;
b_pontarlier;;Pontarlier;;
b_poligny;;Poligny;;
b_clairvauox;;Clairvaux;;
b_nizza;;Nissa;;
b_beuil;;Beuil;;
b_barcilona;;Barcilona;;
b_lopugetenier;;Lo Puget Tenier;;
b_santpouans;;Sant Pouans;;
b_tendo;;Tendo;;
b_forcalquier;;Forcalquier;;
b_apt;;Apt;;
b_sault;;Sault;;
b_digne;;Dihna;;
b_nyons;;Nyons;;
b_sisteron;;Sisteron;;
b_riez;;Riez;;
b_albon;;Albon;;
b_vienne;;Vièna;;
b_valence;;Valence;;
b_montelimar;;Montélimar;;
b_romans;;Romans;;
b_valreas;;Valréas;;
b_latourdupin;;La-Tour-Du-Pin;;
b_stantoine;;Saint Antoine;;
b_die;;Diá;;
b_embrun;;Embrun;;
b_gap;;Gap;;
b_briancon;;Briançon;;
b_stbonnet;;Saint Bonnet;;
b_serresn;;Serres;;
b_veynes;;Veynes;;
b_voreppe;;Voreppe;;
b_grenoble;;Grenoble;;
b_vif;;Vif;;
b_valbonnais;;Valbonnais;;
b_lamure;;La Mure;;
b_pontcharra;;Pontcharra;;
b_arle;;Arle;;
b_montsalvens;;Montsalvens;;
b_rougemont;;Rougemont;;
b_corbieres;;Corbieres;;
b_charmey;;Charmey;;
b_bulle;;Bulle;;
b_riaz;;Riaz;;
b_saintpierreaosta;;Saint-Piere;;
b_fenisaosta;;Fénis;;
b_usselaosta;;Ussel;;
b_aosta;;Aosta;;
b_verresaosta;;Verres;;
b_saintvincentaosta;;Saint-Vincent;;
b_chatillionaosta;;Châtillion;;
b_challantaosta;;Challant;;
b_hautecombe;;Hautecombe;;
b_dinant;;Dinant;;
b_limburg;;Limburg;;Limbourg
b_eupen;;Eupen;;Néau
b_malmedy;;Malmedy;;Malmünde
b_coevorden;;Coevorden;;
b_fexhe;;Fexhe;;
b_aulne;;Aulne;;Alna
b_clervaux;;Clervaux;;Clerf
b_houffalize;;Houffalize;;Hohenfels
b_chiny;;Chiny;;
b_orval;;Orval;;
b_steenderen;;Steenderen;;
b_eerbeek;;Eerbeek;;
b_leuvenheim;;Lovenen;;
b_andenne;;Andenne;;
b_echternach;;Echternach;;
b_eindhoven;;Eindhoven;;
b_hoogstraten;;Hoogstraten;;
b_turnhout;;Turnhout;;Turholt
########################################;;;;
#Armenia and Georgia and the  rest of Caucasus;;;;
########################################;;;;
b_parazhnakert;;Parazhnakert;;
b_artashat;;Artashat;;
b_aragatz;;Aragatz;;
b_ketsaris;;Ketsaris;;
b_loriberd;;Loriberd;;
b_samshvilde;;Samshvilde;;
b_haghbat;;Haghbat;;
b_mahkanaberd;;Mahkanaberd;;
b_noraberd;;Noraberd;;
b_tsurtav;;Tsurtav;;
b_khorvirap;;Khorvirap;;
b_sanahin;;Sanahin;;
b_zugdidi;;Zugdidi;;
b_poti;;Poti;;
b_martvili;;Martvili;;
b_anaklia;;Anaklia;;
b_khobi;;Khobi;;
b_tsalenjikha;;Tsalenjikha;;
b_jvari;;Jvari;;
b_kvetera;;Kvetera;;
b_kelatsminda;;Kelatsminda;;
b_shaki;;Shaki;;
b_gavazi;;Gavazi;;
b_gishi;;Gishi;;
b_bodbe;;Bodbe;;
b_areshi;;Areshi;;
b_davidgareja;;David Gareja;;
b_khornabuji;;Khornabuji;;
b_dedoplistsqaro;;Dedoplis Tsgaro;;
b_hrasekaberd;;Hrasekaberd;;
b_vardanajor;;Vardanajor;;
b_noravank;;Noravank;;
b_artsnanik;;Artsnanik;;
b_kakavaberd;;Kakavaberd;;
b_kajaran;;Kajaran;;
b_baghaberd;;Baghaberd;;
b_tanjaparakhou;;Tanjaparakhou;;
b_shagat;;Shagat;;
b_parisos;;Parisos;;
b_tavush;;Tavush;;
b_khoranashat;;Khoranashat;;
b_shamkhor;;Shamkhor;;
b_matsnaberd;;Matsnaberd;;
b_arenatssar;;Arenatssar;;
b_khamshi;;Khamshi;;
b_amaras;;Amaras;;
b_gardman;;Gardman;;
b_vaykunik;;Vaykunik;;
b_haterk;;Haterk;;
b_jrvshtik;;Jrvshtik;;
b_tigranakertartsakh;;Tigranakert;;
b_khachen;;Khachen;;
b_nicopsia;;Nicopsia;;
b_mamai;;Mamai;;
b_khosta;;Khosta;;
b_maurolaca;;Maurolaca;;
b_masaitica;;Masaitica;;
b_abbasa;;Abbasa;;
b_liesh;;Liesh;;
b_sochi;;Sochi;;
b_artanuji;;Artanuji;;
b_khupati;;Khupati;;
b_akhiza;;Akhiza;;
b_artaani;;Artaani;;
b_arkhabi;;Arkhabi;;
b_vardzia;;Vardzia;;
b_doliskana;;Doliskana;;
b_gonio;;Gonio;;
b_ughtis;;Ughtis;;
b_mamrovani;;Mamrovani;;
b_berdagrak;;Berdagrak;;
b_vatsejori;;Vatsejori;;
b_kalamakhi;;Kalamakhi;;
b_kars;;Kars;;
b_kaghzvan;;Kaghzvan;;
b_surparakelots;;Surp Arakelots;;
b_zarishat;;Zarishat;;
b_tekor;;Tekor;;
b_kechran;;Kechran;;
b_sarighamish;;Sarighamish;;
b_surpstephanos;;Surp Stephanos;;
b_tarki;;Tarki;;
b_kyakhulay;;Kyakhulay;;
b_shamkhal;;Shamkhal;;
b_vovnushki;;Vovnushki;;
b_nikaroi;;Nikaroi;;
b_tkhabayerdy;;Tkhabayerdy;;
b_bekhaila;;Bekhaila;;
b_erzi;;Erzi;;
b_haskali;;Haskali;;
b_chanta;;Chanta;;
b_albiyerdy;;Albiyerdy;;
b_alagir;;Alagir;;
b_nuzal;;Nuzal;;
b_jarlekhi;;Jarlekhi;;
b_omalo;;Omalo;;
b_shenako;;Shenako;;
b_keselo;;Keselo;;
b_shatili;;Shatili;;
b_khakhmati;;Khakhmati;;
b_akhieli;;Akhieli;;
b_lebaiskari;;Lebaiskari;;
b_kasriskari;;Kasriskari;;
b_seti;;Seti;;
b_nikortsminda;;Nikortsminda;;
b_gamba;;Gamba;;
b_thargizel;;Thargizel;;
b_tsageri;;Tsageri;;
b_oni;;Oni;;
b_gebi;;Gebi;;
b_humraj;;Humraj;;
b_arakul;;Arakul;;
b_vachi;;Vachi;;
b_balanjar;;Balanjar;;
b_khasavyurt;;Khasavyurt;;
b_khunzakh;;Khunzakh;;
b_albana;;Albana;;
b_manas;;Manas;;
b_kaghankatuyk;;Kaghankatuyk;;
b_gish;;Gish;;
b_baylakan;;Baylakan;;
b_ganja;;Ganja;;
b_martakert;;Martakert;;
b_aghuen;;Aghuen;;
b_gulistan;;Gulistan;;
b_ujar;;Ujar;;
b_agsu;;Agsu;;
b_emli;;Emli;;
b_shusha;;Shusha;;
b_korduk;;Korduk;;
b_tshauk;;Tshauk;;
b_aitvank;;Aitvank;;
b_vorsirank;;Vorsirank;;
b_aigark;;Aigark;;
b_motolank;;Motolank;;
b_kartunik;;Kartunik;;
b_albak;;Albak;;
b_zaravand;;Zaravand;;
b_arna;;Arna;;
b_kurijan;;Kurijan;;
b_zarehavan;;Zarehavan;;
b_tamber;;Tamber;;
b_trabigavar;;Trabi Gavar;;
b_marigavar;;Mari Gavar;;
b_arsi;;Arsi;;
b_goghtn;;Goghtn;;
b_agarak;;Agarak;;
b_mtsghun;;Mtsghun;;
b_nakhichevan;;Nakhichevan;;
b_kartchavan;;Kartchavan;;
b_noragerd;;Noragerd;;
b_boghrut;;Boghrut;;
b_ordubad;;Ordubad;;
b_paghin;;Paghin;;
b_koghoberd;;Koghoberd;;
b_handzit;;Handzit;;
b_arshamasat;;Arshamasat;;
b_horberd;;Horberd;;
b_gandzasar;;Grandzasar;;
########################################;;;;
#Saxony;;;;
########################################;;;;
b_havelberg;;Havelberg;;
b_dannenberg;;Dannenberg;;
b_juterbog;;Jüterbog;;
b_zinna;;Zinna;;
b_lindow;;Lindow;;
b_wittenberg;;Wittenberg;;
b_pretzsch;;Pretzsch;;
b_grafenhainichen;;Gräfenhainichen;;
b_reggenstein;;Reggenstein;;
b_derenburg;;Derenburg;;
b_blankenburg;;Blankenburg;;
b_quedlinburg;;Quedlinburg;;
b_braunlage;;Braunlage;;
b_aschersleben;;Aschersleben;;
b_kothen;;Köthen;;
b_plotzkau;;Plötzkau;;
b_wettin;;Wettin;;
b_brehna;;Brehna;;
b_torgau;;Torgau;;
b_brenna;;Brandenburg am der Havel;;
b_spandau;;Spandau;;
b_copenick;;Cöpenick;;
b_boztow;;Böztow;;
b_lehin;;Lehin;;
b_bernau;;Bernau;;
b_hachhede;;Hachhede;;
b_buxtehude;;Buxtehude;;
b_bergdorfhamburg;;Bergdorf;;
b_blankenese;;Blankenese;;
b_neuhaus;;Neuhaus;;
b_tripkau;;Tripkau;;
b_ravensberg;;Ravensberg;;
b_werhta;;Werhta;;
b_diepholz;;Diepholz;;
b_ibbenburen;;Ibbenburen;;
b_rheda;;Rheda;;
b_iburg;;Iburg;;
########################################;;;;
#Franconia;;;;
########################################;;;;
b_runkel;;Runkel;;
b_schaldeck;;Schaldeck;;
b_gleichen;;Gleichen;;
b_waschenberg;;Waschenberg;;
b_wartburg;;Wartburg;;
b_schwartzburg;;Schwartzburg;;
b_geogenthal;;Geogenthal;;
b_kafernburg;;Käfernburg;;
b_rudolfstadt;;Rudolfstadt;;
b_frankenhausen;;Frankenhausen;;
b_gudensberg;;Gudensberg;;
b_ziegenhain;;Ziegenhain;;
b_waldeck;;Waldeck;;
########################################;;;;
#Sweden;;;;
########################################;;;;
b_finsta;;Finsta;;
b_penningby;;Penningby;;
b_rydbo;;Rydbo;;
b_hagaslot;;Haga;;
b_arneasborg;;Aranæs;;
b_nabbeborg;;Nabbeborg;;
b_lidkoping;;Lidköping;;
b_brahehus;;Brahehus;;
b_ljungby;;Ljungby;;
b_kalmarslott;;Kalmarslott;;
b_vimmerby;;Vimmerby;;
b_vaxjo;;Växjö;;
b_jat;;Jät;;
b_ekesjo;;Ekesjö;;
b_olmstads;;Ylmstadhe;;
b_hakarps;;Haketorp;;
########################################;;;;
#Cyprus;;;;
########################################;;;;
b_lapithos;;Lapithos;;
b_chytroi;;Chytroi;;
b_tamassos;;Tamassos;;
b_solia;;Solia;;
b_kykko;;Kykko;;
b_kifion;;Kifion;;
b_lefakara;;Lefakara;;
b_stavrovouni;;Stavrovouni;;
b_larnaca;;Larnaca;;
b_salamiscyprus;;Costantia;;
b_othello;;Othello;;
b_peristeronaeast;;Peristerona;;
########################################;;;;
#Corsica;;;;
########################################;;;;
b_alando;;Alandu;;
b_calvi;;Calvi;;
b_castellodirostino;;Castellu di Rustinu;;
b_lucciano;;Lucciana;;
b_morosagalia;;Merusaglia;;
b_rustinu;;Rustinu;;
b_aleria;;Aleria;;
b_dimatra;;Forte Matra;;
b_vescovato;;Cescovato;;
b_accia;;Auccià;;
b_cinarca;;Cinarca;;
b_mariani;;Mariana;;
b_capodibolo;;Capu di Bonu;;
b_nonza;;Nonza;;
b_saintflorent;;San Fiurenzu;;
b_nebbio;;Nebbiu;;
b_ajaccio;;Aiacciu;;
b_bonifacio;;Bunifaziu;;
b_portovecchio;;Portivechju;;
b_sartene;;Sartè;;
b_cardo;;Cardo;;
########################################;;;;
#Sardinia;;;;
########################################;;;;
b_cagliari;;Casteddu;;
b_ogliastra;;Ozzastra;;
b_sanluri;;Seddori;;
b_assemini;;Assèmini;;
b_oristano;;Oristanis;;
b_tharros;;Tharros;;
b_olbia;;Tarranoa;;
b_portotorres;;Pòlthu Tòrra;;
b_sassari;;Thàthari;;
b_ardara;;Aldara;;
b_bosa;;Bosa;;
b_lugosauto;;Locusantu;;
b_serravallesardinia;;Casteddu de Malaspina;;
b_osilio;;Osile;;
b_castelsardo;;Casteddu Sardu;;
b_alghero;;S'Alighèra;;
b_dellafava;;Casteddu Della Fava;;
b_posadasardinia;;Pasada;;
b_lamaddalena;;Sa Madalena;;
b_castellodimollara;;Casteddu de Molara;;
b_nugor;;Nùgoro;;
b_galfelli;;Garteddì;;
b_cabras;;Crabas;;
b_furtei;;Furtei;;
b_asuni;;Asuni;;
b_barumele;;Casteddu de Barùmini;;
b_marmilla;;Marmillia;;
b_dolunova;;Partiolla;;
b_iglesiassardinia;;Igresias;;
b_santamaria;;Santa Maria;;
b_tortoli;;Tòrtuelie;;
b_casteldimedusa;;Casteddu de Medusa;;
b_casteldicastro;;Castéddu 'e susu;;
b_villasor;;Bidda Sorris;;
b_saintmichele;;Iglesia de San Michele;;
b_tempiosardinia;;Tèmpiu;;
########################################;;;;
#Venezia;;;;
########################################;;;;
b_venezia;;Venexia;;
b_rialto;;Rialto;;
b_pelestrina;;Pelestrina;;
b_lido;;Lido;;
b_chioggia;;Cióxa;;
b_jesolo;;Gèxolo;;
b_murano;;Muran;;
b_torcello;;Torcelo;;
########################################;;;;
#Polish;;;;
########################################;;;;
b_wielun;;Wielun;;
b_ostrzeszow;;Ostrzeszów;;
b_opoczno;;Opoczno;;
b_wolborz;;Wolbórz;;
b_inowlodz;;Inowlódz;;
b_tum;;Tum;;
b_piatek;;Piatek;;
b_zgierz;;Zgierz;;
b_bialapoland;;Biala;;
b_uniejow;;Uniejów;;
b_lomzapoland;;Lómza;;
b_zakroczym;;Zakroczym;;
b_przasnysz;;Przasnysz;;
########################################;;;;
#Franconian;;;;
########################################;;;;
b_wertheim;;Wertheim;;
b_burgwertheim;;Burg Wertheim;;
b_durne;;Dürne;;
b_klingen;;Klingen;;
b_breuberg;;Breuberg;;
b_freudenberg;;Freudenberg;;
b_lauffen;;Lauffen;;
########################################;;;;
#Sicily;;;;
########################################;;;;
b_palermo;;Palermu;;Balharm,Panarmos
b_cefalu;;Cifalù;;
b_monreale;;Murriali;;
b_gratteri;;Ratteri;;
b_caltavuturo;;Caltavuturu;;
b_petralia;;Pitralia;;
b_misilmeri;;Musulumeli;;
b_mistretta;;Mistritta;;
b_castiddubbuonu;;Castiddubbuonu;;
b_altofonte;;Capaci;;
b_campofelicedifitalia;;Cifalà Diana;;
b_carini;;Carini;;
b_collesano;;Gulisanu;;
b_casalearianum;;Casale Arianum;;
b_zisa;;Zisa;;
b_castellodellacuba;;Castiddu di Cuba;;
b_ypsigro;;Ypsigro;;
b_molla;;Mólla;;
b_messina;;Missina;;Messene
b_randazzo;;Rannazzu;;
b_lipari;;Lìpari;;
b_taormina;;Taurmina;;Taourmenion
b_sanmarcodalunzio;;Sammarcu;;
b_troinia;;Traina;;
b_furnari;;Fùrniri;;
b_milazzu;;Milazzu;;
b_castellodilombardia;;Castiddu di Lummardì;;
b_castrojanni;;Castru;;
b_patti;;Patti;;
b_santaluciadelmela;;Santi Lucìa dû Melu;;
b_castilgione;;Castigghiuni;;
b_francavilladisicilia;;Francavigghia;;
b_munforti;;Munfotti;;
b_syracusa;;Sarausa;;Syrakousa
b_catania;;Catania;;
b_paterno;;Patennò;;
b_centuripe;;Centuorbi;;
b_augusta;;Aùsta;;
b_castellonormanno;;Castello Normanno;;
b_jachium;;i Benaccussi;;
b_aci;;Jaci;;
b_adranu;;Adranu;;
b_manicace;;Maniàci;;
b_ursino;;Castiddu di Ursino;;
b_jacisantantoniu;;Sant Antoni;;
b_agricento;;Girgenti;;Agrigenton,Kerkent
b_caltabellotta;;Cataviddotta;;
b_raffadali;;Raffadali;;
b_montallegro;;Muntallegru;;
b_castellodiluna;;Casteddu Luna;;
b_racalmutu;;Racalmutu;;
b_canicatti;;Caniattì;;
b_sciacca;;Sciacca;;
b_burgiosicily;;Burgiu;;
b_noto;;Notu;;
b_caltagirone;;Caltaggiruni;;
b_gela;;Terranova;;
b_licata;;Licata;;
b_modica;;Muòrica;;
b_ragusasicily;;Raùsa;;
b_ucannni;;U Canni;;
b_chiramontesicily;;Muntichiaru;;
b_mazzarina;;Mazzarinu;;
b_scicli;;Scìchili;;
b_commisu;;u Còmisu;;
b_oliveri;;Liveri;;
b_occiala;;Occialá;;
b_trapani;;Tràpani;;Drepanon
b_erice;;Èrici;;
b_mazara;;Mazzara;;Mazar
b_sanguiseppelato;;San Giuseppi;;
b_castelvertrano;;Castedduvitranu;;
b_alcarno;;Àrcamu;;
b_marsala;;Maissala;;
b_partanna;;Partanna;;
b_salemi;;Salemi;;
b_calamonuci;;Calamònaci;;
b_castellammaredelgolfo;;Casteddammari;;
b_piazza;;Ciazza;;
b_tavaca;;U Castiddazzu di Tavi;;
